Sparsity(%),Mode,SOP,Max_Cycle,Avg_Cycle,Weight_DRAM_loads,Weight_SRAM_loads,Spike_DRAM_load,Total_SSA_wo_SAS,Total_SSA_w_SAS,Avg_num_Weight_load_per_cycle
30,No SAS No NZ,360677888,3379200,3345066,108,236027904,1204224,1204224,840136,7.84
30,SAS Only,360677888,2368200,2333711,108,164666656,840136,1204224,840136,7.84
30,SAS + NZ,360677888,2163872,2132173,108,115116344,840136,1204224,840136,6
30,SAS + NZ + LB,360677888,1894248,1865944,108,115116344,840136,1204224,840136,6.85
50,No SAS No NZ,185423936,3379200,3345066,108,236027904,1204224,1204224,604088,7.84
50,SAS Only,185423936,1717400,1678022,108,118401248,604088,1204224,604088,7.84
50,SAS + NZ,185423936,1300720,1271133,108,59462704,604088,1204224,604088,5.2
50,SAS + NZ + LB,185423936,1046480,1023268,108,59462704,604088,1204224,604088,6.46
70,No SAS No NZ,66085120,3379200,3345066,108,236027904,1204224,1204224,362824,7.84
70,SAS Only,66085120,1029400,1007844,108,71113504,362824,1204224,362824,7.84
70,SAS + NZ,66085120,560976,547868,108,21151048,362824,1204224,362824,4.29
70,SAS + NZ + LB,66085120,414640,405002,108,21151048,362824,1204224,362824,5.8
90,No SAS No NZ,7443584,3379200,3345066,108,236027904,1204224,1204224,120096,7.84
90,SAS Only,7443584,341200,333600,108,23538816,120096,1204224,120096,7.84
90,SAS + NZ,7443584,90840,88151,108,2340056,120096,1204224,120096,2.95
90,SAS + NZ + LB,7443584,60648,59537,108,2340056,120096,1204224,120096,4.37
