Sparsity(%),Mode,SOP,Max_Cycle,Avg_Cycle,Weight_DRAM_loads,Weight_SRAM_loads,Spike_DRAM_load, Avg_num_Weight_load_per_cycle
30,No NZ,429891840,608256,602112,432,43352064,56448,8
30,NZ Only,429891840,553152,547552,432,30372768,56448,6.16
30,NZ + LB,429891840,482016,478144,432,30372768,56448,7.06
50,No NZ,307049472,608256,602112,432,43352064,56448,8
50,NZ Only,307049472,456192,451008,432,21739968,56448,5.36
50,NZ + LB,307049472,363168,358880,432,21739968,56448,6.73
70,No NZ,184075776,608256,602112,432,43352064,56448,8
70,NZ Only,184075776,325632,322208,432,12979296,56448,4.48
70,NZ + LB,184075776,236928,234848,432,12979296,56448,6.14
90,No NZ,61410816,608256,602112,432,43352064,56448,8
90,NZ Only,61410816,162144,158720,432,4313952,56448,3.02
90,NZ + LB,61410816,106656,104032,432,4313952,56448,4.61
