Sparsity(%),Mode,SOP,Max_Cycle,Avg_Cycle,Weight_DRAM_loads,Weight_SRAM_loads,Spike_DRAM_load_wo_Router,Spike_DRAM_load_w_Router,Avg_num_Weight_load_per_cycle
30,No NZ,817104384,1204224,1204224,288,86704128,53792,36736,8
30,NZ Only,817104384,1099776,1044117,288,57762144,53792,36736,6.15
30,NZ + LB,817104384,955392,908160,288,57762144,53792,36736,7.07
50,No NZ,585344256,1204224,1204224,288,86704128,53792,36736,8
50,NZ Only,585344256,902016,856810,288,41385216,53792,36736,5.37
50,NZ + LB,585344256,720192,684042,288,41385216,53792,36736,6.72
70,No NZ,347492352,1204224,1204224,288,86704128,53792,36736,8
70,NZ Only,347492352,650880,608928,288,24570624,53792,36736,4.48
70,NZ + LB,347492352,473376,445760,288,24570624,53792,36736,6.12
90,No NZ,115802112,1204224,1204224,288,86704128,53792,36736,8
90,NZ Only,115802112,322944,304725,288,8215680,53792,36736,3
90,NZ + LB,115802112,208608,198186,288,8215680,53792,36736,4.61
